,DURG_Class,reporting_year,reporting_number,RF_MAE_with_premium,RF_MAE_after_8_period_with_premium,CL_MAE_with_premium,CL_MAE_after_8_period_with_premium,period
121,DURG_2,2017,1,184.36185354638013,203.6038319071225,0.0,0.0,2017Q1
122,DURG_3,2017,1,6508.04034746787,7320.1972216271115,109104.93460953434,519.0706992559308,2017Q1
123,DURG_4,2017,1,4208.847983331023,5443.349290756269,33230.69550397268,289.3000717781565,2017Q1
124,DURG_5,2017,1,1972.0082234428078,2033.8277919999991,4993.074517750006,1390.8139945740977,2017Q1
125,DURG_6,2017,1,10127.84844252462,8503.446591844444,13021.65031186848,5395.756351087577,2017Q1
126,DURG_7,2017,1,3226.1763482665565,5302.554415738996,1817.1686105967856,448.57753727669115,2017Q1
127,DURG_8,2017,1,41.09347107600602,28.88196300201204,32.369971353997045,11.43496355799409,2017Q1
128,DURG_9,2017,1,1087.60954425,421.18052350000016,2178.186394991838,613.60108704616,2017Q1
129,DURG_10,2017,1,1210.430563565728,710.872498784282,1563.1773407722371,130.62820203996102,2017Q1
130,DURG_1,2017,2,10837.681678002371,8151.6546400353,27188.795413532993,5777.334324326883,2017Q2
131,DURG_2,2017,2,176.133936347362,186.8666813677427,0.0,0.0,2017Q2
132,DURG_3,2017,2,6252.463481343646,6872.887284289329,26273.091791342827,154.09899412069626,2017Q2
133,DURG_4,2017,2,7107.894409184117,5300.253992897422,1610.5152875690967,227.60127596539246,2017Q2
134,DURG_5,2017,2,1971.832608401332,2033.4765619170475,3650.7814025905636,1113.0611458689373,2017Q2
135,DURG_6,2017,2,11807.927389556178,8469.56923357063,4476.441599986039,4618.8600743272,2017Q2
136,DURG_7,2017,2,3196.6698127569416,5243.541344719766,906.9458486085214,248.73181061531977,2017Q2
137,DURG_8,2017,2,42.09449773907993,30.88401632815986,32.369971353997045,11.43496355799409,2017Q2
138,DURG_9,2017,2,1419.687011664998,422.5013926721431,36323.47065482196,575.2336133545864,2017Q2
139,DURG_10,2017,2,1248.8966085235106,762.7697695464274,1585.1732112824877,88.8652965152869,2017Q2
140,DURG_1,2017,3,9919.300292689079,6242.393427729952,6717.402914850212,2992.316790914192,2017Q3
141,DURG_2,2017,3,139.891545003609,114.38189868023673,0.0,0.0,2017Q3
142,DURG_3,2017,3,6105.338002317709,6731.395982988333,14170.072754952369,137.92312451971247,2017Q3
143,DURG_4,2017,3,6344.546373683623,3869.4611389333413,2588.1471183957406,253.90971259058688,2017Q3
144,DURG_5,2017,3,1899.5040084218917,1894.4255979845202,3626.42752646435,1401.5102466493322,2017Q3
145,DURG_6,2017,3,11788.0918365826,8492.441496438212,7402.436762589806,4877.454148617846,2017Q3
146,DURG_7,2017,3,2852.4237871303985,4483.578374258914,1907.586135539812,254.81732600163923,2017Q3
147,DURG_8,2017,3,42.09449773907993,30.88401632815986,32.369971353997045,11.43496355799409,2017Q3
148,DURG_9,2017,3,1400.2428983822292,420.09888358933586,1604.1358479899409,479.1577896979161,2017Q3
149,DURG_10,2017,3,1173.838283856728,663.6032772134558,675.6083885253217,106.12217877387093,2017Q3
150,DURG_1,2017,4,9154.264155300063,4956.764568544237,3570.290065571453,2153.0103213540606,2017Q4
151,DURG_2,2017,4,139.94836249364147,114.49553366030165,0.0,0.0,2017Q4
152,DURG_3,2017,4,5700.49629258668,5936.198271858093,10243.893022932023,90.0283198811776,2017Q4
153,DURG_4,2017,4,1634.9761132024764,616.4540669767182,2486.7825298447,77.52417873286367,2017Q4
154,DURG_5,2017,4,1787.7097936889454,1671.934479533952,2849.607814573119,1049.216780526779,2017Q4
155,DURG_6,2017,4,10247.179649536163,7552.606903639335,3574.4949623693883,1737.2433356061229,2017Q4
156,DURG_7,2017,4,1497.833730856505,1780.347731935317,847.0234633375776,232.71775156995682,2017Q4
157,DURG_8,2017,4,41.859055973468784,30.413132796937564,10.744245866039286,8.005672215000013,2017Q4
158,DURG_9,2017,4,1427.6302148449827,419.85059276334914,2492.8495563825218,450.16027640549237,2017Q4
159,DURG_10,2017,4,1080.4264270534686,495.2121193355979,495.12331816681444,36.140014260443195,2017Q4
